rank,institution,year_founded,affiliation,delivery_method,enrollment,city,country,continent,link
1,Indira Gandhi National Open University,1985,Public,Hybrid,7140000,New Delhi,India,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
2,"National University, Bangladesh",1992,Public,In-Person,3425832,Gazipur,Bangladesh,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
3,Anadolu University,1958,Public,Hybrid,1974343,EskiÅehir,Turkey,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
4,California Community Colleges,1967,Public,In-Person,1800000,California,United States,North America,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
5,Islamic Azad University,1982,Private,In-Person,1778000,,Iran,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
6,Allama Iqbal Open University,1974,Public,Hybrid,1027000,Islamabad,Pakistan,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
7,"Laureate Education, Inc.",1999,Private,Hybrid,875000,,International,Global,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
8,Bangladesh Open University,1992,Public,Distance,650000,Gazipur,Bangladesh,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
9,Universitas Terbuka,1984,Public,Distance,646467,Jakarta,Indonesia,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
10,National Technological Institute of Mexico,1948,Public,In-Person,620000,,Mexico,North America,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
11,Savitribai Phule Pune University,1948,Public,In-Person,665000,"Pune,  Maharashtra",India,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
12,Chaudhary Charan Singh University,1965,Public,In-Person,560000,"Meerut,  Uttar Pradesh",India,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
13,University of Mumbai,1857,Public,In-Person,549432,"Mumbai,  Maharashtra",India,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
14,Ramkhamhaeng University,1971,Public,In-Person,525000,Bangkok,Thailand,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
15,National Open University of Nigeria,2002,Public,Distance,515000,,Nigeria,Africa,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
16,California State University system,1857,Public,In-Person,457992,California,United States,North America,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
